Image,Name,Variation,Series,Category,Stem Color,Patent Number,Country of Origin,IMC,Feet,Release Country,Year Introduced,Year Purchased,Duplicates,Notes,Id,pezdb
https://lh3.googleusercontent.com/-2OB8TOBMknI/UoxWdYcHx_I/AAAAAAAAAb8/blKemftOfZo/w435-h580-no/DSCF0044.JPG,Zoe,,Sesame Street,Television,Pink,4.9,Hungary,1,Yes,USA,2005,,1 Loose,,1,pezdb
https://lh4.googleusercontent.com/-Of2LCOywJ60/UpFbnYH-2EI/AAAAAAAAB3I/qc36pbz88S4/w451-h602-no/DSCF0079.JPG,Zachary Taylor,Printed Stem,U.S. Presidents Series III,People,Red,7.5,China,6,Yes,USA,2012,,,,2,pezdb
https://lh4.googleusercontent.com/-acWMfr_BF0Q/UoxWpXSYP2I/AAAAAAAAAdM/wL6rAQFDfww/w435-h580-no/DSCF0056.JPG,Yoshi,,Nintendo,Video Game,Orange-Red,4.9,Not Listed,1,Yes,Europe,1998,,,,3,pezdb
https://lh6.googleusercontent.com/-WUehy_FnCOM/UouXHIHmqqI/AAAAAAAAAH4/w3M_F0xNyxc/w401-h534-no/DSCF0023.JPG,Yoshi,,Super Mario,Video Game,White,7.5,China,6,Yes,Europe,2013,2013,,,4,pezdb
https://lh3.googleusercontent.com/-Y9XT8UjSFB4/Uo7jkOm51jI/AAAAAAAABa8/4aHYvuvPq-w/w451-h602-no/DSCF0138.JPG,Yosemite Sam Back in Action,Printed stem,Looney Tunes,Cartoons,Navy Blue,4.9,Hungary,1,Yes,USA,2004,,,,5,pezdb
https://lh5.googleusercontent.com/-w9pAf1S5KPs/Uo7j0ID_VXI/AAAAAAAABdA/nbTiluE3LFA/w451-h602-no/DSCF0154.JPG,Yosemite Sam,,Looney Tunes,Cartoons,Medium Blue,4.9,Slovenia,5,Yes,USA,1996,,,,6,pezdb
https://lh5.googleusercontent.com/-8fi2otZD_7g/Uo7jCXTyMoI/AAAAAAAABYE/CyBkRR1AJ6g/w451-h602-no/DSCF0115.JPG,Yoda,,Star Wars,Movies,Tan,4.9,Slovenia,5,Yes,USA,1997,,,,7,pezdb
https://lh3.googleusercontent.com/-o9L9F1Xmd6g/Uo7jdkOj53I/AAAAAAAABaU/3vfppyWASWg/w451-h602-no/DSCF0133.JPG,Yoda,Remake,Star Wars,Movies,Kahki,5.9,Hungary,1,Yes,USA,2012,2012,,,8,pezdb
https://lh6.googleusercontent.com/-VPsja-phVOE/Uo7jSzuFA2I/AAAAAAAABZc/q-nO19-bHKU/w451-h602-no/DSCF0126.JPG,Yoda,Crystal,Star Wars Limited Edition,Movies,Tan,4.9,Slovenia,5,No,USA,2003,,,Custom base,9,pezdb
https://lh5.googleusercontent.com/-CD02qpiwf_w/UoxV3EgmOvI/AAAAAAAAAXA/PEjh8m8gbeQ/w435-h580-no/DSCF0004.JPG,Yasmine,,Bratz,Dolls,Magenta,5.9,China,6,Yes,USA,2005,,,,10,pezdb
https://lh3.googleusercontent.com/-w3Gu0Nszdr8/UouXH-dg8tI/AAAAAAAAAH4/cal03jgPr3k/w401-h534-no/DSCF0024.JPG,Yankees 27th World Series Championship Baseball,,Baseball,Sports,Dark Blue,5.9,China,6,Yes,USA,2010,,,,11,pezdb
https://lh4.googleusercontent.com/-HJjUhQQ-mYk/Uo2wpLVPInI/AAAAAAAAA24/XsKUWXrhQfI/w451-h602-no/DSCF0091.JPG,Worm,,Bugz,Animals,Light Blue,4.9,Hungary,1,Yes,USA,2000,,,,12,pezdb
https://lh5.googleusercontent.com/-7ySoTyrFx6o/UpFbwhAyR6I/AAAAAAAAB40/h-rOJsaiVS8/w451-h602-no/DSCF0092.JPG,Worf,,Star Trek Next Generation,Television,Black,7.5,China,6,Yes,USA,2012,2012,1 Loose,,13,pezdb
https://lh5.googleusercontent.com/-TnTjHMYTtbc/UoxXUS9ZJhI/AAAAAAAAAh4/r3cMO2KTdcs/w435-h580-no/DSCF0095.JPG,Woody,,Toy Story,Disney,Medium Blue,5.9,China,6,Yes,USA,2009,,,,14,pezdb
https://lh3.googleusercontent.com/-F21rb6DFz2U/Uo7izWAoamI/AAAAAAAABWk/7ghjwo15rEk/w451-h602-no/DSCF0103.JPG,Woodstock,Remake,Peanuts,Comics,Yellow,4.9,Hungary,1,Yes,USA,2000,,,,15,pezdb
https://lh4.googleusercontent.com/-wI4CJm0XmGg/Uo7i8DbayDI/AAAAAAAABXg/Yf_kBs5h_2Y/w451-h602-no/DSCF0110.JPG,Woodstock,,Peanuts,Comics,Yellow,4.9,Slovenia,5,Yes,USA,1990,,,,16,pezdb
https://lh6.googleusercontent.com/-5jmec8MVAoU/UpFbMk3DMeI/AAAAAAAABys/CeU6xhGTB1o/w451-h602-no/DSCF0044.JPG,Wonder Woman,Flat star,Superheroes,Comics,Red,4.9,Slovenia,5,Yes,USA,1981,,1 Loose,,17,pezdb
https://lh5.googleusercontent.com/-CQQGuaQ83qI/UpFbQhm6rNI/AAAAAAAABzc/c5pcgmUVv7U/w451-h602-no/DSCF0050.JPG,Wolverine,,Superheroes,Comics,Medium Blue,5.9,China,6,Yes,USA,2009,,,,18,pezdb
https://lh3.googleusercontent.com/-K1eu4Oez21g/UpFbS3zjWiI/AAAAAAAABz0/_OmGlePys-M/w451-h602-no/DSCF0053.JPG,Wolverine,Bigger head,Superheroes,Comics,Yellow,4.9,Slovenia,5,Yes,USA,1999,,,,19,pezdb
https://lh4.googleusercontent.com/-lOo-cV_CUWc/UpFbTfxGo2I/AAAAAAAABz8/8CyRIJ9F3XU/w451-h602-no/DSCF0054.JPG,Wolverine,Bigger head,Superheroes,Comics,Black,4.9,Slovenia,5,Yes,USA,1999,,,,20,pezdb
https://lh5.googleusercontent.com/-lGFtaqWDSIY/UovYxpy5MmI/AAAAAAAAANY/ql1GoPp6Y4I/w435-h580-no/DSCF0022.JPG,Wizard of Oz,,Wizard of Oz,Movies,Silver,5.9,China,6,Yes,USA,2009,2009,,,21,pezdb
https://lh4.googleusercontent.com/-Ml1iMOcznZo/UpFcPszBKbI/AAAAAAAAB98/PtjGZYabd34/w451-h602-no/DSCF0134.JPG,Witch C Misfit,"Black face, white hair, orange hat",Halloween,Holiday,Neon Green,4.9,Slovenia,5,Yes,USA,1998,,,,22,pezdb
https://lh4.googleusercontent.com/-WynA_hlYtaU/UpFcPzyYeuI/AAAAAAAAB-E/1ES6g7MWCMk/w451-h602-no/DSCF0135.JPG,Witch C Misfit,"Yellow face, brown hair, white hat",Halloween,Holiday,Red,4.9,Not Listed,5,Yes,USA,1998,,,,23,pezdb
https://lh6.googleusercontent.com/-Q4Oo5_v4kSE/UpFcFzVu5wI/AAAAAAAAB8Q/SzVRWyRyUfs/w451-h602-no/DSCF0120.JPG,Witch C,Glow in the dark,Halloween,Holiday,Neon Green,4.9,Slovenia,5,Yes,USA,2002,,,,24,pezdb
https://lh6.googleusercontent.com/-gJpI9ptznHo/UpFcO1HCdDI/AAAAAAAAB94/HnKYYep3rBw/w451-h602-no/DSCF0133.JPG,Witch C,"Green face, red hair, black hat",Halloween,Holiday,Red,4.9,Slovenia,5,Yes,USA,,,,,25,pezdb
https://lh4.googleusercontent.com/-DVJU2JNAPAE/UpFcIvV9kII/AAAAAAAAB80/s_68k3njbDg/w451-h602-no/DSCF0125.JPG,Witch,"Glow in the dark, Printed stem",Halloween,Holiday,Glowing White,5.9,Slovenia,5,Yes,USA,2005,,,,26,pezdb
https://lh4.googleusercontent.com/-oJ4aW8zssns/UpFcWYJy_CI/AAAAAAAAB_I/xFAGBxCTFSI/w451-h602-no/DSCF0143.JPG,Witch,"Remake, glow in the dark",Halloween,Holiday,Glowing White,5.9,China,6,Yes,USA,2011,2011,,,27,pezdb
https://lh4.googleusercontent.com/-p3gWW6dKmio/UpFcyEbb6TI/AAAAAAAACDk/xn7_ta1RCfw/w451-h602-no/DSCF0179.JPG,Winter Bear B,Red and green hat,Christmas,Holiday,Green,5.9,China,6,Yes,USA,2009,,,,28,pezdb
https://lh5.googleusercontent.com/-GoQVvU-POeM/Uo7kCfW-uXI/AAAAAAAABew/mMapTxRyz8A/w451-h602-no/DSCF0168.JPG,Winter Bear,White head,Christmas,Holiday,Light Blue,4.9,Not Listed,5,Yes,USA,1999,,"1 Loose (white stem, 4.9 Hungary 1)",,29,pezdb
https://lh6.googleusercontent.com/-hVILIr_-Sb0/Uo7hmAaoR3I/AAAAAAAABM0/K9W_zvKfwGE/w451-h602-no/DSCF0021.JPG,Winnie the Pooh,Thin eyebrows,Winnie the Pooh,Disney,Red,4.9,Hungary,1,Yes,USA,2001,,,,30,pezdb
https://lh4.googleusercontent.com/-tDznQNLsm5k/Uo7hmf7tNGI/AAAAAAAABMs/irOozPH7WnM/w451-h602-no/DSCF0022.JPG,Winnie the Pooh,Thick eyebrows,Winnie the Pooh,Disney,Red,4.9,Hungary,1,Yes,USA,2001,,,Limited distribution,31,pezdb
https://lh5.googleusercontent.com/-86MAwC9s0Ws/Uo7hzL_bSFI/AAAAAAAABOU/M4KGCvzez1U/w451-h602-no/DSCF0034.JPG,Winnie the Pooh,"Remake, taller head and tongue",Winnie the Pooh,Disney,Red,7.5,Hungary,1,Yes,USA,2013,2013,,,32,pezdb
https://lh6.googleusercontent.com/-HME2arLYDPs/Uo2wTHDJuRI/AAAAAAAAA0M/YgOGWg_ZV6E/w451-h602-no/DSCF0069.JPG,Winking Smile,Yellow head,Funky Faces,Pez Originals,Orange,4.9,Hungary,1,Yes,USA,2003,,,,33,pezdb
https://lh5.googleusercontent.com/-r1wZ0wIRYWI/UpFbxHzATvI/AAAAAAAAB4w/wT8n2DcDb8Q/w451-h602-no/DSCF0093.JPG,William T. Riker,,Star Trek Next Generation,Television,Black,7.5,China,6,Yes,USA,2012,2012,1 Loose,,34,pezdb
https://lh4.googleusercontent.com/-mGIB1gEezWU/UpFcdpolpHI/AAAAAAAACAY/qmFnJrJ4Upo/w451-h602-no/DSCF0154.JPG,William McKinley,Printed Stem,U.S. Presidents Series V,People,Red,7.5,China,6,Yes,USA,2013,2013,,,35,pezdb
https://lh3.googleusercontent.com/-HPFYguaFHN0/UpFblbqpmRI/AAAAAAAAB2w/28EpUvxYYFg/w451-h602-no/DSCF0076.JPG,William Henry Harrison,Printed Stem,U.S. Presidents Series II,People,Red,7.5,China,6,Yes,USA,2012,,,,36,pezdb
https://lh5.googleusercontent.com/--xtUhA_NPYU/Uo2vxLWkdVI/AAAAAAAAAwU/Ew_p6EMyLjM/w451-h602-no/DSCF0038.JPG,Will Turner,,Pirates of the Carribean,Movies,Medium Blue,5.9,China,6,Yes,USA,2008,2008,,,37,pezdb
https://lh5.googleusercontent.com/-QTNWyQVsrBQ/Uo7j8JHvUwI/AAAAAAAABd4/aAryDi5LiCs/w451-h602-no/DSCF0161.JPG,Wilie E Coyote,,Looney Tunes,Cartoons,Red,3.9,Yugoslavia,5,Thin,,1980,,1 Loose (Austria 3 stem),,38,pezdb
https://lh4.googleusercontent.com/-xk1GBnejeuo/UovZNiqM77I/AAAAAAAAARM/3yeLfj9xVPI/w435-h580-no/DSCF0053.JPG,Wilbur,,Meet the Robinson's,Disney,Aqua,4.9,Hungary,1,Yes,USA,2007,,,,39,pezdb
https://lh6.googleusercontent.com/-Aq2DexLrqXQ/UovYxwwBa1I/AAAAAAAAANc/bKI11bQ9qJI/w435-h580-no/DSCF0023.JPG,Wicked Witch of the West,,Wizard of Oz,Movies,Black,5.9,China,6,Yes,USA,2009,2009,,,40,pezdb
https://lh6.googleusercontent.com/-OPMaNGcHtaA/UovZSTsvgoI/AAAAAAAAAR0/CZ_idGLAl48/w435-h580-no/DSCF0057.JPG,Wendy,,Bob the Builder,Television,Purple,5.9,Slovenia,5,Yes,USA,2003,,,Originally released in Europe 2002,41,pezdb
https://lh4.googleusercontent.com/-xhEaGLutO38/Uo7iOU35seI/AAAAAAAABSU/tVsIsdi9bhw/w451-h602-no/DSCF0068.JPG,"Webagail ""Webby""",,Ducktales,Disney,Lavender,4.9,Hungary,1,Yes,Europe,1992,,,,42,pezdb
https://lh4.googleusercontent.com/-l1gtlzDG094/UoxWl2Za0FI/AAAAAAAAAc0/UEX6JcG0AOo/w435-h580-no/DSCF0052.JPG,Waybig,,Ben Ten,Television,Yellow,5.9,China,6,Yes,Europe,2010,2013,,,43,pezdb
https://lh3.googleusercontent.com/-H7UCNOJ8V7s/Uo2xY8LTeoI/AAAAAAAAA80/8F6J9IX4BVI/w451-h602-no/DSCF0142.JPG,Watermelon,,Sourz,Pez Originals,Neon Green,5.9,Slovenia,5,Yes,USA,2002,,,,44,pezdb
https://lh5.googleusercontent.com/-4X5KoGYYMhE/Uo2vjMDEHRI/AAAAAAAAAug/Hw9aveKG_Ro/w451-h602-no/DSCF0024.JPG,Wall E,,Wall E,Disney,Light Blue,5.9,China,6,Yes,USA,2008,,1 MOC,,45,pezdb
